"parameter","method","coverage","bias","MSE"
"DTE..54","group.time.ATT",0.821,0.000207360707993164,7.42606412653839e-05
"DTE..54","group.time.ATT.ever.adopted",0.347,0.000157141188204548,0.000209343195925146
"DTE..54","TWFE",0.942,0.000190843646174151,8.39885816270877e-05
"DTE..54","TWFE.ever.adopted",0.942,0.000190843646174151,8.39885816270877e-05
"DTE..55","group.time.ATT",0.825,0.00024545004845206,7.31360705872495e-05
"DTE..55","group.time.ATT.ever.adopted",0.352,-0.000150085271543001,0.000209457674800627
"DTE..55","TWFE",0.924,0.00025495419826953,0.000139003497880558
"DTE..55","TWFE.ever.adopted",0.924,0.00025495419826953,0.000139003497880558
"DTE..56","group.time.ATT",0.539,-0.000644297887087201,8.07377958201341e-05
"DTE..56","TWFE",0.924,-0.000108970640440309,8.04619153352947e-05
"DTE..56","TWFE.ever.adopted",0.924,-0.000108970640440309,8.04619153352947e-05
"DTE..57","group.time.ATT",0.556,0.000363061059845583,7.71626234784095e-05
"DTE..57","TWFE",0.947,0.000266525988691302,0.000144248846024178
"DTE..57","TWFE.ever.adopted",0.947,0.000266525988691302,0.000144248846024178
"DTE..58","group.time.ATT",0.556,0.000270489885469569,7.41189605962346e-05
"DTE..58","TWFE",0.955,0.000140354920166269,0.00010046374274567
"DTE..58","TWFE.ever.adopted",0.955,0.000140354920166269,0.00010046374274567
"DTE..59","group.time.ATT",0.544,-0.000141423796563851,7.87203866239645e-05
"DTE..59","TWFE",0.948,-0.000106368010672053,0.000155282037061363
"DTE..59","TWFE.ever.adopted",0.948,-0.000106368010672053,0.000155282037061363
"DTE..6","group.time.ATT",0.998,-8.5956232730536e-05,7.85535841354898e-06
"DTE..6","group.time.ATT.ever.adopted",0.963,2.8680056482146e-05,3.415062762055e-05
"DTE..6","TWFE",0.946,6.84573103993576e-05,6.68627970945931e-05
"DTE..6","TWFE.ever.adopted",0.946,6.84573103993576e-05,6.68627970945931e-05
"DTE..60","group.time.ATT",0.568,-0.000251700268459667,7.47925042363212e-05
"DTE..60","TWFE",0.949,-0.000182683422018624,0.000105365342307362
"DTE..60","TWFE.ever.adopted",0.949,-0.000182683422018624,0.000105365342307362
"DTE..61","group.time.ATT",0.533,1.93264693875992e-05,7.97091634094806e-05
"DTE..61","TWFE",0.956,0.00018938461762308,0.000153311579754524
"DTE..61","TWFE.ever.adopted",0.956,0.00018938461762308,0.000153311579754524
"DTE..62","group.time.ATT",0.552,0.000358387700032072,8.10153312486323e-05
"DTE..62","TWFE",0.961,0.000120897302201552,0.000102733710278929
"DTE..62","TWFE.ever.adopted",0.961,0.000120897302201552,0.000102733710278929
"DTE..63","group.time.ATT",0.553,-0.000208051206699037,7.59055688960127e-05
"DTE..63","TWFE",0.955,-0.000188248426972458,0.000145268491846054
"DTE..63","TWFE.ever.adopted",0.955,-0.000188248426972458,0.000145268491846054
"DTE..64","group.time.ATT",0.552,-0.000157994174190893,7.73578430009643e-05
"DTE..64","TWFE",0.955,-0.000274021692606958,0.000103738231023808
"DTE..64","TWFE.ever.adopted",0.955,-0.000274021692606958,0.000103738231023808
"DTE..65","group.time.ATT",0.534,0.00012537311616613,7.60865714573104e-05
"DTE..65","TWFE",0.939,0.000187884393030541,0.000162255455972238
"DTE..65","TWFE.ever.adopted",0.939,0.000187884393030541,0.000162255455972238
"DTE..7","group.time.ATT",0.998,5.92422811013887e-05,8.00525584058109e-06
"DTE..7","group.time.ATT.ever.adopted",0.957,9.35598450722987e-05,3.32942477158683e-05
"DTE..7","TWFE",0.941,0.000169325317326941,7.44497288790507e-05
"DTE..7","TWFE.ever.adopted",0.941,0.000169325317326941,7.44497288790507e-05
"DTE..8","group.time.ATT",0.995,5.98659441118698e-05,7.85902652799418e-06
"DTE..8","group.time.ATT.ever.adopted",0.955,-1.16546802431673e-05,3.29599184009723e-05
"DTE..8","TWFE",0.961,0.000187970508599201,5.8055175024694e-05
"DTE..8","TWFE.ever.adopted",0.961,0.000187970508599201,5.8055175024694e-05
"DTE..9","group.time.ATT",0.997,9.27407512589535e-07,7.17548486503193e-06
"DTE..9","group.time.ATT.ever.adopted",0.956,-1.0603387629229e-05,3.21152722718909e-05
"DTE..9","TWFE",0.948,9.46181242177813e-06,7.54457046524509e-05
"DTE..9","TWFE.ever.adopted",0.948,9.46181242177813e-06,7.54457046524509e-05
"DTE.0","group.time.ATT",0.994,3.67590759906718e-05,8.11518619204704e-06
"DTE.0","group.time.ATT.ever.adopted",0.95,0.000118647856967624,3.28888508009716e-05
"DTE.0","TWFE",0.957,1.81408474641184e-05,6.9447790229218e-05
"DTE.0","TWFE.ever.adopted",0.957,1.81408474641184e-05,6.9447790229218e-05
"DTE.1","group.time.ATT",0.998,3.22176430610805e-05,8.1231463834557e-06
"DTE.1","group.time.ATT.ever.adopted",0.971,0.000258808409830806,3.23423864902039e-05
"DTE.1","TWFE",0.953,0.000256901771480985,7.91871662190416e-05
"DTE.1","TWFE.ever.adopted",0.953,0.000256901771480985,7.91871662190416e-05
"DTE.10","group.time.ATT",0.999,3.97018337663356e-05,8.24638402612991e-06
"DTE.10","group.time.ATT.ever.adopted",0.963,9.05762976846916e-05,3.2993819732282e-05
"DTE.10","TWFE",0.956,5.58022392423356e-05,6.98777228067216e-05
"DTE.10","TWFE.ever.adopted",0.956,5.58022392423356e-05,6.98777228067216e-05
"DTE.11","group.time.ATT",0.993,-0.00013416683691205,8.86169320684999e-06
"DTE.11","group.time.ATT.ever.adopted",0.97,0.000446929430444062,3.3470762505383e-05
"DTE.11","TWFE",0.948,0.000116237729056206,7.29616716800162e-05
"DTE.11","TWFE.ever.adopted",0.948,0.000116237729056206,7.29616716800162e-05
"DTE.12","group.time.ATT",0.996,-5.7410143067018e-05,8.90675949935972e-06
"DTE.12","group.time.ATT.ever.adopted",0.855,0.000142866098506526,6.90346435735593e-05
"DTE.12","TWFE",0.945,-7.10048576698768e-05,8.21365905525941e-05
"DTE.12","TWFE.ever.adopted",0.945,-7.10048576698768e-05,8.21365905525941e-05
"DTE.13","group.time.ATT",0.997,-1.31076480161087e-05,9.15409293732568e-06
"DTE.13","group.time.ATT.ever.adopted",0.875,0.000164796316338733,6.93398918785902e-05
"DTE.13","TWFE",0.938,-9.83217860293032e-05,8.38819281312412e-05
"DTE.13","TWFE.ever.adopted",0.938,-9.83217860293032e-05,8.38819281312412e-05
