"parameter","method","coverage","bias","MSE"
"DTE..3","TWFE.ever.adopted",0.957,2.36965731058997e-05,2.23140920533124e-05
"DTE..30","group.time.ATT",0.998,-1.18748512270952e-05,5.69895558268957e-06
"DTE..30","group.time.ATT.ever.adopted",0.993,7.12082488123728e-05,6.66270920905772e-06
"DTE..30","TWFE",0.961,6.4609584431875e-05,1.87453976121363e-05
"DTE..30","TWFE.ever.adopted",0.961,6.4609584431875e-05,1.87453976121363e-05
"DTE..31","group.time.ATT",0.997,4.56509104340217e-05,5.42184895035918e-06
"DTE..31","group.time.ATT.ever.adopted",0.993,-1.89366878460349e-05,6.79651097061838e-06
"DTE..31","TWFE",0.953,-1.36599758239418e-05,2.01871112027811e-05
"DTE..31","TWFE.ever.adopted",0.953,-1.36599758239418e-05,2.01871112027811e-05
"DTE..32","group.time.ATT",0.998,4.73149124245553e-05,5.37275622218875e-06
"DTE..32","group.time.ATT.ever.adopted",0.993,1.81280657201167e-05,6.14670724499734e-06
"DTE..32","TWFE",0.959,9.37933089834549e-05,2.07169129852245e-05
"DTE..32","TWFE.ever.adopted",0.959,9.37933089834549e-05,2.07169129852245e-05
"DTE..33","group.time.ATT",0.998,-5.93251528789936e-05,5.18556997286376e-06
"DTE..33","group.time.ATT.ever.adopted",0.995,-2.85859672843692e-05,6.51255212022972e-06
"DTE..33","TWFE",0.954,-8.28608089566741e-06,1.95367119504038e-05
"DTE..33","TWFE.ever.adopted",0.954,-8.28608089566741e-06,1.95367119504038e-05
"DTE..34","group.time.ATT",0.996,-8.78017442541109e-05,5.48246250162123e-06
"DTE..34","group.time.ATT.ever.adopted",0.991,-7.39357341097766e-05,7.18911890727982e-06
"DTE..34","TWFE",0.948,7.05521693656199e-05,1.99737393154427e-05
"DTE..34","TWFE.ever.adopted",0.948,7.05521693656199e-05,1.99737393154427e-05
"DTE..35","group.time.ATT",0.997,9.60142742420113e-05,5.26146699312568e-06
"DTE..35","group.time.ATT.ever.adopted",0.996,4.71097647202568e-05,6.80766578120683e-06
"DTE..35","TWFE",0.949,8.77288560290519e-05,1.98698212537869e-05
"DTE..35","TWFE.ever.adopted",0.949,8.77288560290519e-05,1.98698212537869e-05
"DTE..36","group.time.ATT",0.996,3.92471816114767e-05,7.45611199359022e-06
"DTE..36","group.time.ATT.ever.adopted",0.994,-2.18162750210878e-05,1.06611517916138e-05
"DTE..36","TWFE",0.957,2.24993764903954e-05,1.80091162969278e-05
"DTE..36","TWFE.ever.adopted",0.957,2.24993764903954e-05,1.80091162969278e-05
"DTE..37","group.time.ATT",0.995,-0.000163031077086347,7.52432456136794e-06
"DTE..37","group.time.ATT.ever.adopted",0.991,-4.33262501123719e-05,1.07138376273349e-05
"DTE..37","TWFE",0.959,2.65313572591915e-05,1.97176081801488e-05
"DTE..37","TWFE.ever.adopted",0.959,2.65313572591915e-05,1.97176081801488e-05
