MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region,MRSTATE,month_index
NC,11,0.08225919850011718,8.23,8534,2011,North Carolina,South,NA,11
NC,12,0.08433459205858794,8.43,8739,2011,North Carolina,South,NA,12
ND,1,0.06856187290969899,6.86,598,2011,North Dakota,Midwest,NA,1
ND,2,0.05741626794258373,5.74,627,2011,North Dakota,Midwest,NA,2
ND,3,0.058823529411764705,5.88,646,2011,North Dakota,Midwest,NA,3
ND,4,0.058734939759036146,5.87,664,2011,North Dakota,Midwest,NA,4
ND,5,0.06013986013986014,6.01,715,2011,North Dakota,Midwest,NA,5
ND,6,0.060781476121562955,6.08,691,2011,North Dakota,Midwest,NA,6
ND,7,0.06543385490753911,6.54,703,2011,North Dakota,Midwest,NA,7
ND,8,0.05221932114882506,5.22,766,2011,North Dakota,Midwest,NA,8
ND,9,0.059639389736477116,5.96,721,2011,North Dakota,Midwest,NA,9
ND,10,0.05822416302765648,5.82,687,2011,North Dakota,Midwest,NA,10
ND,11,0.06976744186046512,6.98,645,2011,North Dakota,Midwest,NA,11
ND,12,0.07636887608069164,7.64,694,2011,North Dakota,Midwest,NA,12
NE,1,0.08469449485783424,8.47,1653,2011,Nebraska,Midwest,NA,1
NE,2,0.07867867867867868,7.87,1665,2011,Nebraska,Midwest,NA,2
NE,3,0.0700836820083682,7.01,1912,2011,Nebraska,Midwest,NA,3
NE,4,0.06892778993435449,6.89,1828,2011,Nebraska,Midwest,NA,4
NE,5,0.07376594564614532,7.38,1803,2011,Nebraska,Midwest,NA,5
NE,6,0.0670569451836083,6.71,1879,2011,Nebraska,Midwest,NA,6
NE,7,0.07874865156418555,7.87,1854,2011,Nebraska,Midwest,NA,7
NE,8,0.06673209028459273,6.67,2038,2011,Nebraska,Midwest,NA,8
NE,9,0.06782178217821783,6.78,2020,2011,Nebraska,Midwest,NA,9
NE,10,0.0812720848056537,8.13,1698,2011,Nebraska,Midwest,NA,10
NE,11,0.07006369426751592,7.01,1727,2011,Nebraska,Midwest,NA,11
NE,12,0.06253312135665076,6.25,1887,2011,Nebraska,Midwest,NA,12
NM,1,0.04201680672268908,4.2,1190,2011,New Mexico,West,NA,1
NM,2,0.05662100456621005,5.66,1095,2011,New Mexico,West,NA,2
NM,3,0.04978165938864629,4.98,1145,2011,New Mexico,West,NA,3
NM,4,0.05679862306368331,5.68,1162,2011,New Mexico,West,NA,4
NM,5,0.049194991055456175,4.92,1118,2011,New Mexico,West,NA,5
NM,6,0.06936936936936937,6.94,1110,2011,New Mexico,West,NA,6
NM,7,0.04948124501197127,4.95,1253,2011,New Mexico,West,NA,7
NM,8,0.05411764705882353,5.41,1275,2011,New Mexico,West,NA,8
NM,9,0.03366488140780413,3.37,1307,2011,New Mexico,West,NA,9
NM,10,0.04927782497875956,4.93,1177,2011,New Mexico,West,NA,10
NM,11,0.05383936451897617,5.38,1133,2011,New Mexico,West,NA,11
NM,12,0.04888888888888889,4.89,1125,2011,New Mexico,West,NA,12
NV,1,0.09515366430260047,9.52,1692,2011,Nevada,West,NA,1
NV,2,0.07977386934673367,7.98,1592,2011,Nevada,West,NA,2
NV,3,0.0824235807860262,8.24,1832,2011,Nevada,West,NA,3
NV,4,0.09064830751577739,9.06,1743,2011,Nevada,West,NA,4
NV,5,0.07738419618528611,7.74,1835,2011,Nevada,West,NA,5
NV,6,0.07876154263986963,7.88,1841,2011,Nevada,West,NA,6
NV,7,0.09404045926735921,9.4,1829,2011,Nevada,West,NA,7
NV,8,0.09487951807228916,9.49,1992,2011,Nevada,West,NA,8
NV,9,0.08845958312150483,8.85,1967,2011,Nevada,West,NA,9
NV,10,0.09192348565356004,9.19,1882,2011,Nevada,West,NA,10
NV,11,0.06997518610421836,7,2015,2011,Nevada,West,NA,11
NV,12,0.10268714011516315,10.27,2084,2011,Nevada,West,NA,12
NY,1,0.07039743361254679,7.04,16833,2011,New York,Northeast,NA,1
NY,2,0.07058898278162526,7.06,15739,2011,New York,Northeast,NA,2
NY,3,0.06789586594770106,6.79,17247,2011,New York,Northeast,NA,3
NY,4,0.07043094186462934,7.04,16754,2011,New York,Northeast,NA,4
NY,5,0.06824760632375863,6.82,17964,2011,New York,Northeast,NA,5
NY,6,0.066546072466151407,6.65,18243,2011,New York,Northeast,NA,6
NY,7,0.07012859633827376,7.01,18352,2011,New York,Northeast,NA,7
NY,8,0.06603014536287079,6.6,18643,2011,New York,Northeast,NA,8
NY,9,0.06637192594639403,6.64,18095,2011,New York,Northeast,NA,9
NY,10,0.06993700419972002,6.99,17144,2011,New York,Northeast,NA,10
NY,11,0.06654581603415005,6.65,17101,2011,New York,Northeast,NA,11
