"parameter","method","coverage","bias","MSE"
"DTE..32","group.time.ATT.ever.adopted",1,-0.000432938546972699,5.14225973016846e-06
"DTE..32","TWFE",1,-0.00193049065738414,2.02687732422987e-05
"DTE..32","TWFE.ever.adopted",1,-0.00193049065738414,2.02687732422987e-05
"DTE..33","group.time.ATT",1,0.000439986702067881,2.87303026989348e-06
"DTE..33","group.time.ATT.ever.adopted",1,0.00081761951676709,5.79182818834607e-06
"DTE..33","TWFE",1,-0.00143930362743812,1.53940736512789e-05
"DTE..33","TWFE.ever.adopted",1,-0.00143930362743812,1.53940736512789e-05
"DTE..34","group.time.ATT",1,-0.00101771190952349,6.82306899865607e-06
"DTE..34","group.time.ATT.ever.adopted",1,0.000100119290812477,7.0318961227251e-06
"DTE..34","TWFE",1,-0.00201020515258091,1.93064926270312e-05
"DTE..34","TWFE.ever.adopted",1,-0.00201020515258091,1.93064926270312e-05
"DTE..35","group.time.ATT",1,-0.000183568570037264,8.86995472997444e-06
"DTE..35","group.time.ATT.ever.adopted",1,-0.00156518816828572,1.76406226463263e-05
"DTE..35","TWFE",0.9,-0.00186157177013074,2.76088104801734e-05
"DTE..35","TWFE.ever.adopted",0.9,-0.00186157177013074,2.76088104801734e-05
"DTE..36","group.time.ATT",1,3.61228442110559e-05,4.89357614325036e-06
"DTE..36","group.time.ATT.ever.adopted",1,0.00116580266026214,1.40747880293157e-05
"DTE..36","TWFE",1,-9.50419637971496e-05,1.853578990016e-05
"DTE..36","TWFE.ever.adopted",1,-9.50419637971496e-05,1.853578990016e-05
"DTE..37","group.time.ATT",1,0.00012858394473118,4.2128615203659e-06
"DTE..37","group.time.ATT.ever.adopted",1,0.000259017099812962,7.77006575351751e-06
"DTE..37","TWFE",0.9,-0.00114187983065644,2.03311736592763e-05
"DTE..37","TWFE.ever.adopted",0.9,-0.00114187983065644,2.03311736592763e-05
"DTE..38","group.time.ATT",1,0.000215668564180392,1.23767494299011e-05
"DTE..38","group.time.ATT.ever.adopted",1,-0.000249375768970472,1.38865574698095e-05
"DTE..38","TWFE",1,-0.000994407161477334,1.51272657046652e-05
"DTE..38","TWFE.ever.adopted",1,-0.000994407161477334,1.51272657046652e-05
"DTE..39","group.time.ATT",1,0.000607289942587794,4.79018103689109e-06
"DTE..39","group.time.ATT.ever.adopted",1,0.000240437768483021,1.30299126358503e-05
"DTE..39","TWFE",1,-0.001581322368226,1.78158718084752e-05
"DTE..39","TWFE.ever.adopted",1,-0.001581322368226,1.78158718084752e-05
"DTE..4","group.time.ATT",1,9.5846347906343e-05,7.39350672338823e-06
"DTE..4","group.time.ATT.ever.adopted",1,0.000105889391196692,1.23042778529854e-05
"DTE..4","TWFE",1,-0.00157342434681778,1.30890062248294e-05
"DTE..4","TWFE.ever.adopted",1,-0.00157342434681778,1.30890062248294e-05
"DTE..40","group.time.ATT",1,-0.0012735309063478,1.20224527261923e-05
