"parameter","method","coverage","bias","MSE","power"
"DTE..33","group.time.ATT.ever.adopted",0.995,7.10904056886407e-05,8.06662612848548e-06,0.004
"DTE..33","stacked.regression",0.955,2.46514178022615e-06,5.86205618847343e-06,0.024
"DTE..33","TWFE",0.947,0.000429832254096529,5.84287056639624e-05,0.025
"DTE..33","TWFE.ever.adopted",0.947,0.000429832254096529,5.84287056639624e-05,0.025
"DTE..34","group.time.ATT",0.997,-3.69539603094563e-05,5.86657232221742e-06,0.003
"DTE..34","group.time.ATT.ever.adopted",0.996,-7.89538681600751e-05,8.00596366793796e-06,0.003
"DTE..34","stacked.regression",0.952,-6.60891523420818e-05,6.12239830835006e-06,0.026
"DTE..34","TWFE",0.953,0.00011938684548639,5.87600663694449e-05,0.027
"DTE..34","TWFE.ever.adopted",0.953,0.00011938684548639,5.87600663694449e-05,0.027
"DTE..35","group.time.ATT",0.999,-5.99940993272793e-05,5.8315495053188e-06,0
"DTE..35","group.time.ATT.ever.adopted",0.992,-4.48196775929357e-05,8.34165359699388e-06,0.004
"DTE..35","stacked.regression",0.944,-2.91351920326255e-05,6.05823175516599e-06,0.033
"DTE..35","TWFE",0.952,1.38046031138892e-05,5.98860652322738e-05,0.025
"DTE..35","TWFE.ever.adopted",0.952,1.38046031138892e-05,5.98860652322738e-05,0.025
"DTE..36","group.time.ATT",0.996,0.000126537438912624,6.90916477531806e-06,0.001
"DTE..36","group.time.ATT.ever.adopted",0.994,0.000149923360327183,1.03671021718675e-05,0.003
"DTE..36","stacked.regression",0.946,3.08589072946538e-05,6.08995138899029e-06,0.026
"DTE..36","TWFE",0.952,0.000107457055460536,1.06672327092274e-05,0.025
"DTE..36","TWFE.ever.adopted",0.952,0.000107457055460536,1.06672327092274e-05,0.025
"DTE..37","group.time.ATT",1,-3.34403587530655e-06,6.56319400238071e-06,0
"DTE..37","group.time.ATT.ever.adopted",0.996,-0.000179507558087722,1.0656388445045e-05,0.003
"DTE..37","stacked.regression",0.952,-8.32191445309435e-05,6.86844250614568e-06,0.027
"DTE..37","TWFE",0.95,-0.000339355514081407,6.84644223716211e-05,0.031
"DTE..37","TWFE.ever.adopted",0.95,-0.000339355514081407,6.84644223716211e-05,0.031
"DTE..38","group.time.ATT",0.997,-9.90290534380482e-05,6.50414273794671e-06,0.001
"DTE..38","group.time.ATT.ever.adopted",0.99,-3.82211420838519e-05,1.10504158287478e-05,0.006
"DTE..38","stacked.regression",0.947,-7.9875108655637e-05,6.85799726653065e-06,0.026
"DTE..38","TWFE",0.945,-6.45215261534668e-05,6.80483383565982e-05,0.031
"DTE..38","TWFE.ever.adopted",0.945,-6.45215261534668e-05,6.80483383565982e-05,0.031
"DTE..39","group.time.ATT",0.999,-2.66379428296903e-05,6.6674204071727e-06,0.001
"DTE..39","group.time.ATT.ever.adopted",0.993,7.27301201428998e-06,1.04595762608923e-05,0.003
"DTE..39","stacked.regression",0.936,1.91539447824113e-05,6.87939619496894e-06,0.036
"DTE..39","TWFE",0.94,4.75990246650707e-05,6.90288021124813e-05,0.033
"DTE..39","TWFE.ever.adopted",0.94,4.75990246650707e-05,6.90288021124813e-05,0.033
