"parameter","method","coverage","bias","MSE","power"
"DTE..32","TWFE.ever.adopted",0.957,2.60751971805986e-05,5.67867919068422e-05,0.023
"DTE..33","group.time.ATT",0.997,-7.78564157677537e-05,7.95053601919742e-06,0.001
"DTE..33","group.time.ATT.ever.adopted",0.951,-1.6930601765287e-05,3.31417532863391e-05,0.024
"DTE..33","stacked.regression",0.944,-5.50758870985288e-05,7.88963329954499e-06,0.034
"DTE..33","TWFE",0.961,-0.000141684354494995,4.01456564465502e-05,0.024
"DTE..33","TWFE.ever.adopted",0.941,-1.86968156640594e-05,8.56416604275056e-05,0.029
"DTE..34","group.time.ATT",0.998,1.11521201357622e-05,6.99969674791357e-06,0.002
"DTE..34","group.time.ATT.ever.adopted",0.958,0.000163729643321743,3.27652475555796e-05,0.023
"DTE..34","stacked.regression",0.936,2.27805286692253e-05,8.69068529472083e-06,0.027
"DTE..34","TWFE",0.973,-6.22162081796173e-05,3.89856661435524e-05,0.018
"DTE..34","TWFE.ever.adopted",0.962,-5.57442884284692e-05,5.55090904253129e-05,0.025
"DTE..35","group.time.ATT",0.999,-2.87304651439733e-05,7.27818861364289e-06,0.001
"DTE..35","group.time.ATT.ever.adopted",0.959,-0.000207530744923391,3.24225175560896e-05,0.021
"DTE..35","stacked.regression",0.956,1.16284085334628e-05,8.07404668937358e-06,0.019
"DTE..35","TWFE",0.962,-6.63233395887169e-05,4.02001192294357e-05,0.026
"DTE..35","TWFE.ever.adopted",0.946,7.90363476425569e-05,8.76041402096594e-05,0.026
"DTE..36","group.time.ATT",0.94,-0.000309638370020473,3.77083971133037e-05,0.035
"DTE..36","group.time.ATT.ever.adopted",0.854,-7.99863794451549e-05,6.33871660471653e-05,0.071
"DTE..36","stacked.regression",0.946,4.03588736774363e-05,8.06443906870431e-06,0.026
"DTE..36","TWFE",0.96,-5.10293341051861e-05,3.8738887254457e-05,0.024
"DTE..36","TWFE.ever.adopted",0.971,-2.12300613498893e-05,4.27887463847555e-05,0.017
"DTE..37","group.time.ATT",0.946,0.000199965292099203,3.54762395660718e-05,0.021
"DTE..37","group.time.ATT.ever.adopted",0.851,2.45843361667463e-05,6.20440498797411e-05,0.081
"DTE..37","stacked.regression",0.893,0.000289764651039444,3.78435473143132e-05,0.048
"DTE..37","TWFE",0.958,5.79618576280585e-05,5.26381780323939e-05,0.023
"DTE..37","TWFE.ever.adopted",0.953,0.000213113102092455,8.89033054079624e-05,0.024
"DTE..38","group.time.ATT",0.949,0.000115788325212349,3.43284332271951e-05,0.029
"DTE..38","group.time.ATT.ever.adopted",0.836,0.000276252270903114,6.16152839262123e-05,0.071
"DTE..38","stacked.regression",0.903,8.97993589402412e-05,3.61521205693267e-05,0.055
"DTE..38","TWFE",0.962,-0.000151719776077389,5.35266915424708e-05,0.02
"DTE..38","TWFE.ever.adopted",0.954,-0.000127890402589608,6.22126715455194e-05,0.022
"DTE..39","group.time.ATT",0.95,-0.000135504067173992,3.50942783012759e-05,0.028
"DTE..39","group.time.ATT.ever.adopted",0.858,-0.000234984639732247,5.95727436578189e-05,0.077
"DTE..39","stacked.regression",0.88,-2.59889662721071e-05,3.78485987076045e-05,0.068
"DTE..39","TWFE",0.955,-0.00026536940682898,5.43347221946196e-05,0.026
"DTE..39","TWFE.ever.adopted",0.955,-0.000143893971465562,9.55527417982002e-05,0.025
"DTE..4","group.time.ATT",0.998,-9.74623115977999e-05,8.01337322177075e-06,0
"DTE..4","group.time.ATT.ever.adopted",0.963,0.000205858624868965,3.26277434788498e-05,0.016
"DTE..4","stacked.regression",0.947,-0.00012555904293,7.72343613911642e-06,0.027
"DTE..4","TWFE",0.966,-0.000181400813481154,3.9569058027538e-05,0.019
"DTE..4","TWFE.ever.adopted",0.963,-3.7883799261534e-05,6.04247147975637e-05,0.019
"DTE..40","group.time.ATT",0.932,-0.000148826531129881,3.52371093662745e-05,0.036
"DTE..40","group.time.ATT.ever.adopted",0.845,-4.07406404566826e-05,6.12432780657006e-05,0.082
"DTE..40","stacked.regression",0.906,0.000109515100901886,3.52963777524368e-05,0.051
"DTE..40","TWFE",0.956,-9.53478717483184e-05,5.45149000808703e-05,0.029
"DTE..40","TWFE.ever.adopted",0.965,7.50272006541191e-05,6.32306185099367e-05,0.024
"DTE..41","group.time.ATT",0.939,1.24405007303255e-05,3.44994092793115e-05,0.024
"DTE..41","group.time.ATT.ever.adopted",0.865,-1.43181383491632e-05,5.88172493747014e-05,0.071
"DTE..41","stacked.regression",0.894,0.000258341632031767,3.87523437491363e-05,0.053
"DTE..41","TWFE",0.954,2.83554978886448e-05,5.27909741895938e-05,0.02
"DTE..41","TWFE.ever.adopted",0.939,0.00021702845797208,9.71144636140519e-05,0.028
"DTE..42","group.time.ATT",0.944,6.52839385493272e-06,3.67247586960421e-05,0.03
"DTE..42","group.time.ATT.ever.adopted",0.833,-3.95302060166201e-05,6.30487899193536e-05,0.076
"DTE..42","stacked.regression",0.915,0.000245901131301441,3.52278798044415e-05,0.038
"DTE..42","TWFE",0.964,1.13962505211805e-05,5.21781341045792e-05,0.015
"DTE..42","TWFE.ever.adopted",0.962,3.88987871133713e-05,6.30123026938956e-05,0.021
"DTE..43","group.time.ATT",0.945,-2.81445594038542e-05,3.57003867325867e-05,0.024
"DTE..43","group.time.ATT.ever.adopted",0.85,-5.7857744452045e-05,6.12125705147279e-05,0.074
"DTE..43","stacked.regression",0.908,0.000239372737446508,3.87134256352451e-05,0.048
"DTE..43","TWFE",0.954,8.70693657193384e-06,5.2543601474529e-05,0.027
"DTE..43","TWFE.ever.adopted",0.945,0.000167268504867798,0.000100502759982265,0.026
"DTE..44","group.time.ATT",0.94,0.000380532914466429,3.61260673129201e-05,0.027
"DTE..44","group.time.ATT.ever.adopted",0.835,0.000351295443313411,6.08003483934293e-05,0.075
"DTE..44","stacked.regression",0.891,0.000267517296850363,3.82272365172152e-05,0.056
"DTE..44","TWFE",0.957,4.49091425760412e-05,5.43833305988202e-05,0.025
"DTE..44","TWFE.ever.adopted",0.956,9.48710527297726e-05,6.66268946355384e-05,0.024
"DTE..45","group.time.ATT",0.938,-0.000104132972600045,3.62752103210421e-05,0.034
"DTE..45","group.time.ATT.ever.adopted",0.859,-5.57852503025843e-05,6.3105192746036e-05,0.072
"DTE..45","stacked.regression",0.906,-0.000113015617616066,3.65151948632889e-05,0.057
"DTE..45","TWFE",0.962,-0.00032440477155896,5.48230690596634e-05,0.024
"DTE..45","TWFE.ever.adopted",0.942,-0.000142892932136206,0.00010227214417515,0.031
"DTE..46","group.time.ATT",0.946,-0.000380341910339325,3.68098403737559e-05,0.027
"DTE..46","group.time.ATT.ever.adopted",0.85,-0.000172752785960802,6.16245572415533e-05,0.075
"DTE..46","stacked.regression",0.904,-8.88264501602155e-06,3.61060154455818e-05,0.053
"DTE..46","TWFE",0.96,-0.000250578346460086,5.46980335769545e-05,0.022
"DTE..46","TWFE.ever.adopted",0.952,-0.0002610839942456,6.68860819497005e-05,0.033
"DTE..47","group.time.ATT",0.937,6.71001017812476e-05,3.71350262000435e-05,0.029
"DTE..47","group.time.ATT.ever.adopted",0.863,-3.38630081806833e-05,6.37765340760839e-05,0.067
"DTE..47","stacked.regression",0.888,0.000371459265323303,3.87061573170569e-05,0.048
"DTE..47","TWFE",0.952,0.000135049295275111,5.78032471108945e-05,0.023
"DTE..47","TWFE.ever.adopted",0.942,0.0002335638000291,0.000105920907719601,0.03
"DTE..48","group.time.ATT",0.815,7.84566946237224e-07,7.37881811917751e-05,0.092
"DTE..48","group.time.ATT.ever.adopted",0.329,-0.000274222676896086,0.000217520327845408,0.339
"DTE..48","stacked.regression",0.91,0.000304359163542055,3.74152058240416e-05,0.038
"DTE..48","TWFE",0.952,8.86055272525223e-05,5.28543569881597e-05,0.023
"DTE..48","TWFE.ever.adopted",0.971,0.000219823170005674,5.28990049232882e-05,0.015
"DTE..49","group.time.ATT",0.83,0.000229575697142302,7.79583324616665e-05,0.085
"DTE..49","group.time.ATT.ever.adopted",0.35,0.000481394868885685,0.000221313301789189,0.321
"DTE..49","stacked.regression",0.845,0.000461104113768754,7.41525679239687e-05,0.082
"DTE..49","TWFE",0.934,0.000173673850142964,7.28430969775717e-05,0.031
