"parameter","method","coverage","bias","MSE","power"
"DTE..31","TWFE.ever.adopted",0.973,-4.26336549282879e-05,9.38802805624203e-05,0.014
"DTE..32","group.time.ATT",0.996,7.72311207839926e-05,8.79402881141832e-06,0.002
"DTE..32","group.time.ATT.ever.adopted",0.953,0.00043457506993636,2.95104853210465e-05,0.019
"DTE..32","stacked.regression",0.949,5.10675260251079e-05,8.94054718689402e-06,0.024
"DTE..32","TWFE",0.973,1.49981415578656e-05,5.35574367865586e-05,0.012
"DTE..32","TWFE.ever.adopted",0.973,1.49981415578656e-05,5.35574367865586e-05,0.012
"DTE..33","group.time.ATT",1,-3.77470986057688e-05,8.41540555708588e-06,0
"DTE..33","group.time.ATT.ever.adopted",0.967,-2.59079539398251e-05,2.92024036836116e-05,0.017
"DTE..33","stacked.regression",0.97,-2.61635947588848e-05,7.75497734578981e-06,0.02
"DTE..33","TWFE",0.967,-4.80680642371108e-05,9.74138142193639e-05,0.016
"DTE..33","TWFE.ever.adopted",0.967,-4.80680642371108e-05,9.74138142193639e-05,0.016
"DTE..34","group.time.ATT",0.995,0.000144631402945081,8.95047942727128e-06,0.003
"DTE..34","group.time.ATT.ever.adopted",0.952,-0.000173589921434949,2.85684670260997e-05,0.025
"DTE..34","stacked.regression",0.963,1.15835038468839e-05,8.3751151160485e-06,0.017
"DTE..34","TWFE",0.978,-0.000212429913303494,5.37904871548965e-05,0.013
"DTE..34","TWFE.ever.adopted",0.978,-0.000212429913303494,5.37904871548965e-05,0.013
"DTE..35","group.time.ATT",0.999,5.9062948934399e-06,8.96560881656327e-06,0.001
"DTE..35","group.time.ATT.ever.adopted",0.955,9.43931926182313e-05,2.85204924220927e-05,0.019
"DTE..35","stacked.regression",0.951,-0.000133047899098197,8.12154910502254e-06,0.034
"DTE..35","TWFE",0.979,-7.22966314854331e-05,9.49655089962788e-05,0.011
"DTE..35","TWFE.ever.adopted",0.979,-7.22966314854331e-05,9.49655089962788e-05,0.011
"DTE..36","group.time.ATT",0.954,-6.21349936513694e-05,2.93200513138872e-05,0.025
